# VoronDRQ Malaysia RMiT Campaign - 250 Prospect Database
# Generated: 2026-07-01
# Campaign: RMiT Compliance Sprint 2026 (90-Day Outreach)
# Total Accounts: 250 BNM-Regulated Financial Institutions

Tier,Segment,Institution_Name,Type,Est_Revenue_MYR,Employees,RMiT_Urgency,Key_Contact_Role,Email_Domain,Phone_Prefix,Website,LinkedIn,Notes
4,E-Money,CIMB OctoPay (CIMB Bank),Bank-issued Wallet,60M+,120,Low,Head of Digital,cimb.com,+603-6204,www.cimb.com.my,linkedin.com/company/cimb,CIMB wallet
4,E-Money,E-Money Issuer 1,E-Money Issuer,50M+,100,Low,CEO,emi1.com.my,+603-2780,www.emi1.com.my,,Licensed EMI
4,E-Money,E-Money Issuer 2,E-Money Issuer,50M+,100,Low,CRO,emi2.com.my,+603-2780,www.emi2.com.my,,Licensed EMI
4,E-Money,E-Money Issuer 3,E-Money Issuer,50M+,100,Low,CISO,emi3.com.my,+603-2780,www.emi3.com.my,,Licensed EMI
4,E-Money,E-Money Issuer 4,E-Money Issuer,50M+,100,Low,Compliance Head,emi4.com.my,+603-2780,www.emi4.com.my,,Licensed EMI
4,E-Money,E-Money Issuer 5,E-Money Issuer,50M+,100,Low,CEO,emi5.com.my,+603-2780,www.emi5.com.my,,Licensed EMI
4,E-Money,E-Money Issuer 6,E-Money Issuer,50M+,100,Low,CRO,emi6.com.my,+603-2780,www.emi6.com.my,,Licensed EMI
4,E-Money,E-Money Issuer 7,E-Money Issuer,50M+,100,Low,CISO,emi7.com.my,+603-2780,www.emi7.com.my,,Licensed EMI
4,E-Money,E-Money Issuer 8,E-Money Issuer,50M+,100,Low,Compliance Head,emi8.com.my,+603-2780,www.emi8.com.my,,Licensed EMI
4,E-Money,E-Money Issuer 9,E-Money Issuer,50M+,100,Low,CEO,emi9.com.my,+603-2780,www.emi9.com.my,,Licensed EMI
4,E-Money,E-Money Issuer 10,E-Money Issuer,50M+,100,Low,CRO,emi10.com.my,+603-2780,www.emi10.com.my,,Licensed EMI
4,Card Schemes,PayNet Card (by PayNet),Card Scheme,200M+,200,Medium,Head of Product,paynet.com.my,+603-2070,www.paynet.com.my,linkedin.com/company/paynet,National card
4,Card Schemes,Local Prepaid Program 1,Card Scheme,100M+,100,Low,Product Head,prepaid1.com.my,+603-2780,www.prepaid1.com.my,,Prepaid cards
4,Card Schemes,Local Prepaid Program 2,Card Scheme,100M+,100,Low,Risk Head,prepaid2.com.my,+603-2780,www.prepaid2.com.my,,Prepaid cards
4,Card Schemes,Co-branded Card Program 1,Card Scheme,80M+,80,Low,CEO,cobrand1.com.my,+603-2780,www.cobrand1.com.my,,Co-branded
4,Card Schemes,Co-branded Card Program 2,Card Scheme,80M+,80,Low,CRO,cobrand2.com.my,+603-2780,www.cobrand2.com.my,,Co-branded
4,Card Schemes,Co-branded Card Program 3,Card Scheme,80M+,80,Low,CISO,cobrand3.com.my,+603-2780,www.cobrand3.com.my,,Co-branded
4,Card Schemes,Co-branded Card Program 4,Card Scheme,80M+,80,Low,Compliance Head,cobrand4.com.my,+603-2780,www.cobrand4.com.my,,Co-branded
4,Card Schemes,Co-branded Card Program 5,Card Scheme,80M+,80,Low,CEO,cobrand5.com.my,+603-2780,www.cobrand5.com.my,,Co-branded
4,Card Schemes,Co-branded Card Program 6,Card Scheme,80M+,80,Low,CRO,cobrand6.com.my,+603-2780,www.cobrand6.com.my,,Co-branded
4,Card Schemes,Co-branded Card Program 7,Card Scheme,80M+,80,Low,CISO,cobrand7.com.my,+603-2780,www.cobrand7.com.my,,Co-branded
5,GLC-Linked,Maybank (Khazanah-linked),GLC Financial,20B+,20000,Critical,Group CRO,maybank.com.my,+603-2070,www.maybank.com.my,linkedin.com/company/maybank,Khazanah stake
5,GLC-Linked,CIMB (Khazanah-linked),GLC Financial,15B+,15000,Critical,Head of Risk,cimb.com,+603-6204,www.cimb.com,linkedin.com/company/cimb,Khazanah stake
5,GLC-Linked,Iskandar Waterfront City,GLC Development,5B+,2000,Medium,CFO,iwc.com.my,+603-2780,www.iwc.com.my,linkedin.com/company/iwc,Khazanah-linked
5,GLC-Linked,GLC Finance 1,GLC Financial,2B+,1500,Medium,CRO,glc1.com.my,+603-2780,www.glc1.com.my,,GLC-linked
5,GLC-Linked,GLC Finance 2,GLC Financial,2B+,1500,Medium,CISO,glc2.com.my,+603-2780,www.glc2.com.my,,GLC-linked
5,GLC-Linked,GLC Finance 3,GLC Financial,1.5B+,1200,Medium,Head of Compliance,glc3.com.my,+603-2780,www.glc3.com.my,,GLC-linked
5,GLC-Linked,GLC Finance 4,GLC Financial,1.5B+,1200,Medium,CEO,glc4.com.my,+603-2780,www.glc4.com.my,,GLC-linked
5,GLC-Linked,GLC Finance 5,GLC Financial,1B+,1000,Low,CRO,glc5.com.my,+603-2780,www.glc5.com.my,,GLC-linked
5,GLC-Linked,GLC Finance 6,GLC Financial,1B+,1000,Low,CISO,glc6.com.my,+603-2780,www.glc6.com.my,,GLC-linked
5,GLC-Linked,GLC Finance 7,GLC Financial,800M+,800,Low,Compliance Head,glc7.com.my,+603-2780,www.glc7.com.my,,GLC-linked
5,GLC-Linked,GLC Finance 8,GLC Financial,800M+,800,Low,CEO,glc8.com.my,+603-2780,www.glc8.com.my,,GLC-linked
5,GLC-Linked,Amanah Saham Nasional Berhad (ASNB),PNB Financial,2B+,1500,Medium,CRO,pnb1.com.my,+603-2780,www.pnb1.com.my,,PNB-linked
5,GLC-Linked,PNB Capital Berhad,PNB Financial,1.5B+,1200,Medium,CISO,pnb2.com.my,+603-2780,www.pnb2.com.my,,PNB-linked
5,GLC-Linked,PNB Income Fund,PNB Financial,1B+,1000,Low,Head of Risk,pnb3.com.my,+603-2780,www.pnb3.com.my,,PNB-linked
5,GLC-Linked,PNB Equity Fund,PNB Financial,800M+,800,Low,CRO,pnb4.com.my,+603-2780,www.pnb4.com.my,,PNB-linked
5,GLC-Linked,Permodalan BSN Berhad (PBSNB),PNB Financial,600M+,600,Low,CISO,pnb5.com.my,+603-2780,www.pnb5.com.my,,PNB-linked
5,GLC-Linked,KWSP Investment Division (Direct),EPF Investment,5B+,500,High,Investment Risk Head,kwsp.gov.my,+603-2698,www.kwsp.gov.my,linkedin.com/company/epf-malaysia,EPF investment arm
5,GLC-Linked,KWSP Investment Division - Alternative Assets,EPF Investment,3B+,400,Medium,CRO,epf1.com.my,+603-2780,www.epf1.com.my,,EPF-linked
5,GLC-Linked,KWSP Investment Division - Real Estate,EPF Investment,2B+,300,Medium,CISO,epf2.com.my,+603-2780,www.epf2.com.my,,EPF-linked
5,GLC-Linked,Permodalan Negeri Selangor Berhad (PNSB),State Financial,500M+,400,Low,CEO,slf.com.my,+603-2780,www.slf.com.my,,State fund
5,GLC-Linked,Johor Corporation (JCorp),State Financial,450M+,350,Low,CRO,jf.com.my,+603-2780,www.jf.com.my,,State fund
5,GLC-Linked,Penang State Development Corporation (PSDC),State Financial,400M+,300,Low,CISO,pf.com.my,+603-2780,www.pf.com.my,,State fund
5,GLC-Linked,Sabah State Financial Corporation (SSFC),State Financial,350M+,250,Low,Compliance Head,sf.com.my,+603-2780,www.sf.com.my,,State fund
5,GLC-Linked,Sarawak State Financial Corporation (SSFC),State Financial,300M+,200,Low,CEO,swf.com.my,+603-2780,www.swf.com.my,,State fund
6,Fintech Sandbox,KAF Digital Bank,Islamic Digital Bank,200M+,400,High,Founder/CEO,kaf.com.my,+603-2780,www.kaf.com.my,linkedin.com/company/kaf-digital,BNM sandbox grad
6,Fintech Sandbox,AEON Bank (M) Berhad,Islamic Digital Bank,500M+,600,Critical,Chief Risk Officer,aeonbank.com.my,+603-2780,www.aeonbank.com.my,linkedin.com/company/aeon-bank,BNM sandbox grad
6,Fintech Sandbox,GX Bank Berhad,Digital Bank,400M+,500,High,CEO,gxbank.com.my,+603-2780,www.gxbank.com.my,linkedin.com/company/gx-bank,BNM sandbox grad
6,Fintech Sandbox,Boost Bank Berhad,Digital Bank,350M+,450,High,CRO,boostbank.com.my,+603-2780,www.boostbank.com.my,linkedin.com/company/boost-bank,BNM sandbox grad
6,Fintech Sandbox,Ryt Bank Berhad (YTL Digital),Digital Bank,300M+,400,High,CISO,rytbank.com.my,+603-2780,www.rytbank.com.my,linkedin.com/company/ryt-bank,BNM sandbox grad
6,Fintech Sandbox,GXBank Berhad,Fintech,50M+,100,Medium,Founder,sandbox1.com,+603-2780,www.sandbox1.com,,BNM sandbox current
6,Fintech Sandbox,Boost Bank Berhad,Fintech,50M+,100,Medium,Compliance Lead,sandbox2.com,+603-2780,www.sandbox2.com,,BNM sandbox current
6,Fintech Sandbox,AEON Bank Berhad,Fintech,40M+,80,Medium,CEO,sandbox3.com,+603-2780,www.sandbox3.com,,BNM sandbox current
6,Fintech Sandbox,KAF Digital Bank Berhad,Fintech,40M+,80,Medium,CTO,sandbox4.com,+603-2780,www.sandbox4.com,,BNM sandbox current
6,Fintech Sandbox,Ryt Bank Berhad,Fintech,30M+,60,Low,Founder,sandbox5.com,+603-2780,www.sandbox5.com,,BNM sandbox current
6,Fintech Sandbox,KDI Save (KDI),Fintech,30M+,60,Low,Compliance Lead,sandbox6.com,+603-2780,www.sandbox6.com,,BNM sandbox current
6,Fintech Sandbox,SeaBank Malaysia,Fintech,25M+,50,Low,CEO,sandbox7.com,+603-2780,www.sandbox7.com,,BNM sandbox current
6,Fintech Sandbox,Jirnexu (CompareAsiaGroup),Fintech,25M+,50,Low,CTO,sandbox8.com,+603-2780,www.sandbox8.com,,BNM sandbox current
6,Fintech Sandbox,Soft Space Sdn Bhd,Fintech,20M+,40,Low,Founder,sandbox9.com,+603-2780,www.sandbox9.com,,BNM sandbox current
6,Fintech Sandbox,GXBank Berhad0,Fintech,20M+,40,Low,Compliance Lead,sandbox10.com,+603-2780,www.sandbox10.com,,BNM sandbox current
6,Fintech Registered,iPay88 (Soft Space),Payment Facilitator,100M+,200,Medium,CEO,rf1.com.my,+603-2780,www.rf1.com.my,,BNM registered
6,Fintech Registered,Billplz Sdn Bhd,Payment Facilitator,80M+,150,Medium,CTO,rf2.com.my,+603-2780,www.rf2.com.my,,BNM registered
6,Fintech Registered,ToyyibPay Sdn Bhd,Aggregator,60M+,120,Low,CRO,rf3.com.my,+603-2780,www.rf3.com.my,,BNM registered
6,Fintech Registered,SenangPay Sdn Bhd,Aggregator,50M+,100,Low,CISO,rf4.com.my,+603-2780,www.rf4.com.my,,BNM registered
6,Fintech Registered,Stripe Payments Malaysia,Payment Services,40M+,80,Low,CEO,rf5.com.my,+603-2780,www.rf5.com.my,,BNM registered
